id	region	AvAmount	Months	StoreType	Income	CardType	Amount	Fraud
id166	southeast	400	80	4	183619	A	47863.4	0
id013	southeast	440	86	1	115544	B	30377	1
id264	southeast	440	70	2	131993	D	36083.2	0
id193	southeast	460	90	2	176443	D	52283.9	0
id299	north	480	35	3	81609.4	C	24734.2	1
id027	southeast	500	93	1	102720	C	30271.7	0
id093	southeast	500	76	3	181057	D	54653.6	0
id173	midlands	500	15	5	56220.9	A	17925.7	1
id035	southeast	520	107	5	392856	A	116072	0
id067	southwest	520	78	6	336128	D	104152	0
id160	midlands	540	108	7	482264	D	158405	0
id063	midlands	560	107	5	301795	A	94232.5	0
id110	midlands	560	97	2	148700	B	40034	0
id259	north	580	58	3	180525	A	52981.9	0
id297	midlands	580	27	2	60611.2	C	17374.7	1
id010	southeast	600	80	4	267928	D	90350.6	0
id085	southwest	600	48	2	108645	A	29785.2	1
id195	midlands	660	47	5	235813	D	70216.7	0
id030	midlands	680	81	2	221391	B	68370.9	0
id075	north	700	92	4	401818	A	126279	0
id142	southeast	700	86	1	189595	B	63897.3	0
id256	north	720	85	7	584362	D	169792	0
id050	southeast	740	40	2	124004	A	37495.5	0
id076	southeast	740	46	5	248335	D	73175.3	0
id184	midlands	760	74	3	263777	C	82782.6	0
id132	north	800	44	1	103946	D	29970.5	0
id131	southeast	860	78	5	455879	B	146815	0
id020	north	880	74	4	426988	C	118885	0
id028	southeast	880	15	3	70439.8	D	19437.7	1
id146	southwest	880	79	3	217013	A	68353.7	0
id189	southeast	880	38	7	290070	D	77882.7	0
id073	midlands	900	66	4	380620	A	104321	0
id091	southwest	920	109	7	925974	D	283727	1
id150	midlands	920	68	6	493425	A	151461	0
id269	midlands	920	104	6	769689	A	235685	0
id293	midlands	920	30	2	115855	D	35487.3	0
id037	midlands	940	106	4	622450	A	170310	0
id237	midlands	940	67	6	471628	D	147159	0
id040	southeast	960	60	2	215908	D	69410.8	0
id011	southeast	980	38	4	222703	A	63494	0
id072	southeast	1000	65	2	234890	A	68274	0
id147	midlands	1000	24	4	90244.4	D	28141	0
id294	southeast	1000	83	3	444578	C	150965	0
id071	southeast	1020	51	3	245851	D	70077.4	0
id203	midlands	1040	42	2	165009	D	43535.4	0
id113	midlands	1080	78	5	539533	D	153657	0
id249	north	1100	83	7	857987	D	285621	0
id266	southwest	1100	105	2	286209	D	81801	0
id148	southeast	1120	73	3	410348	D	115630	0
id296	southeast	1120	15	3	81314.9	D	24486.1	1
id082	midlands	1140	100	3	592811	B	186648	0
id230	north	1140	93	3	522920	A	172753	0
id021	southwest	1160	105	2	299274	A	100872	0
id036	southeast	1160	21	6	185939	B	52599.8	0
id089	southeast	1160	108	1	374262	A	111198	0
id246	north	1160	94	6	878204	A	233183	0
id018	southeast	1180	98	1	368646	A	100043	0
id153	midlands	1240	49	7	399514	B	112038	0
id194	midlands	1240	61	3	361772	A	98111.8	0
id014	southeast	1260	90	6	900243	A	322365	0
id023	southeast	1260	17	6	170279	A	75500.2	0
id250	southeast	1260	61	3	238374	A	77506.2	0
id286	southeast	1260	39	4	282031	C	89570.4	0
id066	southeast	1280	88	4	625131	A	196097	0
id251	north	1280	48	6	365669	D	109669	0
id252	southeast	1280	52	1	200903	D	55313.5	0
id096	southeast	1300	23	7	274389	A	74545.1	0
id059	southeast	1360	80	6	808614	D	256331	0
id270	southeast	1360	103	1	332301	D	106135	0
id079	midlands	1380	21	6	170604	D	53303	0
id129	southwest	1380	31	7	392460	D	125279	0
id135	midlands	1380	80	6	926373	A	270153	0
id282	southeast	1400	70	4	388737	C	129091	0
id077	midlands	1460	63	1	211222	C	59701.9	0
id215	midlands	1460	103	3	726926	C	200288	0
id038	midlands	1480	64	4	586185	D	158310	0
id088	southwest	1480	75	1	335648	D	94884.6	0
id181	southwest	1480	64	4	613249	A	161269	0
id211	southeast	1480	80	7	1149950	A	299743	0
id253	southeast	1480	99	3	683000	D	188989	0
id022	southeast	1500	61	5	687736	D	214418	0
id156	southeast	1500	46	1	214577	C	55934	0
id219	midlands	1500	76	1	364775	D	109923	0
id241	southwest	1500	68	7	860482	A	247045	0
id099	southeast	1520	49	1	217542	A	72065.6	0
id187	north	1520	37	1	179227	D	47989.6	1
id188	southeast	1520	46	7	404722	D	106181	0
id271	southeast	1520	65	1	318574	D	91078.6	0
id289	southeast	1520	32	6	353964	B	105224	0
id298	southeast	1540	76	6	876316	B	277091	0
id106	southeast	1560	71	6	912059	A	294105	0
id006	southeast	1580	42	5	445785	A	122135	0
id026	midlands	1580	109	6	1286430	D	377328	0
id141	southeast	1600	107	6	1296310	D	346904	0
id272	midlands	1600	52	4	546560	C	176234	0
id277	midlands	1600	52	2	329244	A	97678.8	0
