BuyOrNot,BuyDNactDN,ActDNTotalDN,BuyBBrand,BuyHit
1,6.38,51.09,2.83,1.57
1,8.93,60.87,3.2,2.17
1,16.13,33.7,11.63,6.36
1,16.22,40.22,11.29,6.25
1,3.85,56.52,1.89,1.45
1,4,54.35,2.13,1.28
1,13.64,23.91,6.98,2.36
1,20,16.3,8.82,5.13
1,6.45,33.7,6.9,1.4
1,6.38,51.09,2.16,1.25
1,22.58,33.7,14.04,6.92
1,21.43,15.22,20,9.09
1,25,60.87,10.43,4.18
1,9.62,56.52,5.43,3.64
1,6.38,51.09,3.61,2.99
1,12.33,79.35,4.9,4.72
1,15.62,34.78,8.16,3.38
1,22,54.35,10.2,3.15
1,4.44,48.91,0.93,2.12
1,3.57,60.87,1.69,0.46
1,30,43.48,15.91,8.17
0,0,11.96,0,0
1,24.32,40.22,13.21,6.09
1,27.03,40.22,17.54,7.82
1,15.15,35.87,5.56,2.55
1,7.69,28.26,8.7,2.44
1,12.5,34.78,4.71,1.41
1,17.54,61.96,10.99,6.35
1,26.19,45.65,19.05,4.03
1,2.22,48.91,1.56,0.89
1,8.62,63.04,3.4,1.79
1,2.13,51.09,1.16,0.58
1,17.65,18.48,13.64,12.82
1,18.18,23.91,15.38,6.85
1,16.22,40.22,15.79,7.07
1,3.33,65.22,0.68,0.49
1,5.77,56.52,3.7,0.73
1,32.88,79.35,16.05,4.04
1,19.23,56.52,10.75,8.33
1,17.46,68.48,11.88,4.66
1,5.13,42.39,3.03,5.19
1,9.09,59.78,4.1,1.26
1,20.93,46.74,15.15,8.76
0,0,11.96,0,0
1,11.76,18.48,8.7,3.08
1,14.29,53.26,7.41,4.55
1,9.72,78.26,5.36,2.33
1,9.52,22.83,7.41,3.23
1,7.69,70.65,3.01,1.36
1,24.14,63.04,31.71,4.64
1,21.67,65.22,7.18,3.21
1,9.09,71.74,2.96,2.35
1,22.22,39.13,14.81,8.08
1,13.58,88.04,4.62,1.68
1,35.29,18.48,25,14.58
1,32.61,50,22.86,10.94
1,9.09,47.83,3.7,2.19
1,16.67,26.09,9.52,10.81
1,32,54.35,24.68,15.74
1,31.25,69.57,14.56,7.29
0,0,44.57,0,0
1,11.54,84.78,4.15,2.19
1,5.88,36.96,6.82,3.97
1,27.78,19.57,20,13.16
1,12.07,63.04,5.17,4.13
1,4.35,25,2.22,0.89
1,27.27,35.87,14.29,5.66
1,3.45,31.52,2.44,1.47
1,3.45,31.52,2.56,0.75
1,5.36,60.87,3.09,1.08
1,22.03,64.13,12.8,3.56
1,14.04,61.96,9.88,4.03
1,14.29,7.61,11.11,8.33
0,0,2.17,0,0
1,8.33,39.13,5.08,2.56
1,19.05,45.65,21.95,8.04
1,16.67,71.74,6.67,1.67
1,17.72,85.87,3.99,2.58
1,17.02,51.09,10.96,6.25
1,17.65,18.48,10.71,4.71
1,21.74,25,10.42,5.48
1,14.49,75,4.41,1.92
0,0,22.83,0,0
1,6.12,53.26,4.6,2.16
1,5,43.48,3.51,1.6
1,14.04,61.96,8.49,4.19
1,19.51,44.57,9.09,3.93
1,5.41,40.22,2.7,0.71
1,4.26,51.09,2.56,1.23
1,25.71,38.04,12.9,11.7
1,7.69,42.39,5,2.42
1,31.58,20.65,25,7.79
1,15.38,28.26,9.3,5.97
1,16,54.35,9.3,4.69
1,20,27.17,8.11,7.07
1,9.76,44.57,4.27,2.38
1,1.96,55.43,1.18,0.83
1,16.67,58.7,7.89,3.7
1,35.42,52.17,22.09,9.01
1,21.31,66.3,7.98,3.81
1,8.57,76.09,4.27,1.91
1,17.14,38.04,10.71,2.4
1,19.05,45.65,9.41,5.92
1,8.96,72.83,6.4,3.6
1,13.79,31.52,8.2,7.08
1,4.62,70.65,1.4,0.86
1,4,81.52,2.12,1.86
1,8,27.17,3.39,1.43
1,18.52,58.7,8.2,1.99
1,9.88,88.04,3.62,1.39
1,15.56,48.91,11.11,6.77
1,7.32,89.13,2.93,0.97
1,12.2,44.57,8.11,10.96
1,60,70.65,22.96,8.62
1,17.31,56.52,33.33,4.5
1,8,27.17,6.67,6.25
1,15.79,41.3,6.98,3.17
1,6.82,47.83,4.48,2.94
1,10.53,20.65,9.09,13.11
1,8,54.35,3.39,3.35
1,29.03,67.39,14.66,9.2
1,40.91,23.91,24.39,33.9
1,1.75,61.96,0.64,0.36
1,13.64,23.91,16.67,8.33
0,0,36.96,0,0
1,14.58,52.17,9.09,3.54
0,0,19.57,0,0
1,17.07,44.57,10.53,4.69
1,8.7,25,5.56,4.55
1,16.42,72.83,4.44,2.32
1,10.17,64.13,4.72,2.29
