dq	nvzhuang	nvxie	nanzhuang	nanxie	yundong	xidi	xihu
北京市	4.48	4.79	3.4	3.85	5.51	18.35	6.96
天津市	1.48	1.73	1.3	1.48	1.59	0.92	2.42
河北省	3.66	4.69	3.4	4.4	4.08	3.67	3.04
山西省	2.2	2.44	2.54	2.49	2.65	2.75	3.04
内蒙古自治区	1.28	1.54	1.34	1.54	1.82	0	1.37
辽宁省	2.6	2.67	2.08	2.39	3.48	3.67	3.53
吉林省	1.19	1.3	1.01	1.15	1.52	0	1.96
黑龙江省	1.57	1.58	1.31	1.33	2.12	0	1.27
上海市	3.85	4.15	3.08	3.39	4.17	12.84	6.57
江苏省	8.57	10.05	8.06	9.5	7.25	9.17	9.6
浙江省	10.47	9	9.63	9.89	8.59	11.01	8.33
安徽省	3.27	4.26	3.38	4.04	3.12	3.67	2.25
福建省	6.64	4.47	6.7	5.35	4.65	3.67	4.31
江西省	2.6	2.2	2.85	2.62	1.8	0	2.15
山东省	5.98	6.96	5.49	6.65	6.42	1.83	9.01
河南省	3.88	4.15	4.16	4.54	3.56	6.42	5.78
湖北省	2.72	2.93	3.15	3.48	2.91	2.75	4.11
湖南省	3.22	3.18	3.4	3.28	2.98	0.92	2.45
广东省	13.24	9.96	13.37	10.32	12.18	7.34	8.03
广西壮族自治区	1.85	1.54	2.42	1.68	2.33	0.92	1.57
海南省	0.83	0.49	0.76	0.48	0.63	1.83	0.78
重庆市	1.75	1.95	2.2	2	1.9	0.92	1.57
四川省	4.07	4.25	4.79	4.43	4.11	3.67	3.13
贵州省	1.89	1.71	2.2	1.79	1.33	0	1.18
云南省	2.27	1.89	2.27	1.61	2.15	0.92	1.86
西藏自治区	0.09	0.16	0.12	0.14	0.11	0	0
陕西省	1.87	2.56	2.43	2.81	2.81	1.83	1.37
甘肃省	0.75	1.24	1.07	1.24	1.3	0	0.69
青海省	0.19	0.27	0.27	0.27	0.31	0	0.49
宁夏回族自治区	0.31	0.44	0.41	0.43	0.49	0	0.2
新疆省	0.84	1.18	1.14	1.17	1.24	0	0.78
