province	x1	x2	x3	x4	x5	x6	gdp	geo
北京   	21.76	15.01	12.23	0.02	10.69	3.09	2	1
天津   	7.47	4.19	4.8	0	11.44	7.68	3	1
河北     	21.92	43.49	69.43	9.4	100	45.79	2	1
山西     	13.79	58.94	93.45	100	44.6	15.04	3	1
内蒙古    	7.44	37.97	69.87	2.16	37.87	9.02	3	1
辽宁     	27.9	36.64	100	1.08	49.84	35.21	2	2
吉林     	12.6	13.47	41.05	0.32	11.9	14.49	3	2
黑龙江    	15.41	16.34	43.23	0.01	15.14	14.01	3	2
上海     	39.94	29.14	28.82	0.04	19.94	17.44	2	3
江苏     	53.01	12.58	13.1	0.06	49.08	100	1	3
浙江     	30.4	4.64	4.37	0.35	36.35	74.79	1	3
安徽     	22.46	11.92	22.71	0	27.57	27.14	3	3
福建     	19.93	3.97	15.72	0.67	19.03	50.6	2	3
江西     	15.24	14.79	10.04	1.99	12.68	26.34	3	3
山东     	37.37	52.54	53.28	0.02	65.24	61.86	1	3
河南     	36.11	33.77	33.19	0.54	39.31	49.83	2	4
湖北      	34.63	22.74	16.16	1.93	21.57	33.65	2	4
湖南     	33.81	36.2	30.57	7.68	18.22	37.05	2	4
广东     	100	5.74	9.17	2.78	35.25	91.63	1	4
广西     	30.16	10.38	5.24	2.5	26.47	68.35	3	4
海南     	6.04	0	0.44	0.03	2.29	1.91	4	4
重庆     	14.2	31.35	35.81	33.34	15.83	25.44	3	5
四川     	30.72	34.22	56.33	49.37	47.8	42.49	2	5
贵州     	9.17	100	45.41	19.76	21.54	4.2	4	5
云南     	10.39	19.21	24.89	19.95	16.8	12.88	3	5
西藏     	0	0	0	0.95	0	0	4	5
陕西     	10.94	17.88	28.38	10.2	13.44	17.79	3	6
甘肃     	5.88	18.98	18.78	5.99	12.09	5.6	4	6
青海     	2.3	1.77	10.92	0.2	5.16	2.41	4	6
宁夏     	3.09	6.4	6.99	1.15	8.26	7.55	4	6
新疆     	10.22	23.4	36.68	16.42	12.04	7.5	4	6
