Source,Target,Id
2,1,1
3,1,2
3,2,3
4,1,4
4,2,5
4,3,6
5,1,7
6,1,8
7,1,9
7,5,10
7,6,11
8,1,12
8,2,13
8,3,14
8,4,15
9,1,16
9,3,17
10,3,18
11,1,19
11,5,20
11,6,21
12,1,22
13,1,23
13,4,24
14,1,25
14,2,26
14,3,27
14,4,28
17,6,29
17,7,30
18,1,31
18,2,32
20,1,33
20,2,34
22,1,35
22,2,36
26,24,37
26,25,38
28,3,39
28,24,40
28,25,41
29,3,42
30,24,43
30,27,44
31,2,45
31,9,46
32,1,47
32,25,48
32,26,49
32,29,50
33,3,51
33,9,52
33,15,53
33,16,54
33,19,55
33,21,56
33,23,57
33,24,58
33,30,59
33,31,60
33,32,61
34,9,62
34,10,63
34,14,64
34,15,65
34,16,66
34,19,67
34,20,68
34,21,69
34,23,70
34,24,71
34,27,72
34,28,73
34,29,74
34,30,75
34,31,76
34,32,77
34,33,78
