number	fixed	volatile	citric	residual	chlorides	free	total	density	ph	sulphates	alcohol	quality
       1	7.4	.7	0	1.9	.076	11	34	.9978	3.51	.56	9.4	5
       2	7.8	.88	0	2.6	.098	25	67	.9968	3.2	.68	9.8	5
       3	7.8	.76	.04	2.3	.092	15	54	.997	3.26	.65	9.8	5
       4	11.2	.28	.56	1.9	.075	17	60	.998	3.16	.58	9.8	6
       5	7.4	.7	0	1.9	.076	11	34	.9978	3.51	.56	9.4	5
       6	7.4	.66	0	1.8	.075	13	40	.9978	3.51	.56	9.4	5
       7	7.9	.6	.06	1.6	.069	15	59	.9964	3.3	.46	9.4	5
       8	7.3	.65	0	1.2	.065	15	21	.9946	3.39	.47	10	7
       9	7.8	.58	.02	2	.073	9	18	.9968	3.36	.57	9.5	7
      10	7.5	.5	.36	6.1	.071	17	102	.9978	3.35	.8	10.5	5
      11	6.7	.58	.08	1.8	.097	15	65	.9959	3.28	.54	9.2	5
      12	7.5	.5	.36	6.1	.071	17	102	.9978	3.35	.8	10.5	5
      13	5.6	.615	0	1.6	.089	16	59	.9943	3.58	.52	9.9	5
      14	7.8	.61	.29	1.6	.114	9	29	.9974	3.26	1.56	9.1	5
      15	8.9	.62	.18	3.8	.176	52	145	.9986	3.16	.88	9.2	5
      16	8.9	.62	.19	3.9	.17	51	148	.9986	3.17	.93	9.2	5
      17	8.5	.28	.56	1.8	.092	35	103	.9969	3.3	.75	10.5	7
      18	8.1	.56	.28	1.7	.368	16	56	.9968	3.11	1.28	9.3	5
      19	7.4	.59	.08	4.4	.086	6	29	.9974	3.38	.5	9	4
      20	7.9	.32	.51	1.8	.341	17	56	.9969	3.04	1.08	9.2	6
      21	8.9	.22	.48	1.8	.077	29	60	.9968	3.39	.53	9.4	6
      22	7.6	.39	.31	2.3	.082	23	71	.9982	3.52	.65	9.7	5
      23	7.9	.43	.21	1.6	.106	10	37	.9966	3.17	.91	9.5	5
      24	8.5	.49	.11	2.3	.084	9	67	.9968	3.17	.53	9.4	5
      25	6.9	.4	.14	2.4	.085	21	40	.9968	3.43	.63	9.7	6
      26	6.3	.39	.16	1.4	.08	11	23	.9955	3.34	.56	9.3	5
      27	7.6	.41	.24	1.8	.08	4	11	.9962	3.28	.59	9.5	5
      28	7.9	.43	.21	1.6	.106	10	37	.9966	3.17	.91	9.5	5
      29	7.1	.71	0	1.9	.08	14	35	.9972	3.47	.55	9.4	5
      30	7.8	.645	0	2	.082	8	16	.9964	3.38	.59	9.8	6
      31	6.7	.675	.07	2.4	.089	17	82	.9958	3.35	.54	10.1	5
      32	6.9	.685	0	2.5	.105	22	37	.9966	3.46	.57	10.6	6
      33	8.3	.655	.12	2.3	.083	15	113	.9966	3.17	.66	9.8	5
      34	6.9	.605	.12	10.7	.073	40	83	.9993	3.45	.52	9.4	6
      35	5.2	.32	.25	1.8	.103	13	50	.9957	3.38	.55	9.2	5
      36	7.8	.645	0	5.5	.086	5	18	.9986	3.4	.55	9.6	6
      37	7.8	.6	.14	2.4	.086	3	15	.9975	3.42	.6	10.8	6
      38	8.1	.38	.28	2.1	.066	13	30	.9968	3.23	.73	9.7	7
      39	5.7	1.13	.09	1.5	.172	7	19	.994	3.5	.48	9.8	4
      40	7.3	.45	.36	5.9	.074	12	87	.9978	3.33	.83	10.5	5
      41	7.3	.45	.36	5.9	.074	12	87	.9978	3.33	.83	10.5	5
      42	8.8	.61	.3	2.8	.088	17	46	.9976	3.26	.51	9.3	4
      43	7.5	.49	.2	2.6	.332	8	14	.9968	3.21	.9	10.5	6
      44	8.1	.66	.22	2.2	.069	9	23	.9968	3.3	1.2	10.3	5
      45	6.8	.67	.02	1.8	.05	5	11	.9962	3.48	.52	9.5	5
      46	4.6	.52	.15	2.1	.054	8	65	.9934	3.9	.56	13.1	4
      47	7.7	.935	.43	2.2	.114	22	114	.997	3.25	.73	9.2	5
      48	8.7	.29	.52	1.6	.113	12	37	.9969	3.25	.58	9.5	5
      49	6.4	.4	.23	1.6	.066	5	12	.9958	3.34	.56	9.2	5
      50	5.6	.31	.37	1.4	.074	12	96	.9954	3.32	.58	9.2	5
      51	8.8	.66	.26	1.7	.074	4	23	.9971	3.15	.74	9.2	5
      52	6.6	.52	.04	2.2	.069	8	15	.9956	3.4	.63	9.4	6
      53	6.6	.5	.04	2.1	.068	6	14	.9955	3.39	.64	9.4	6
      54	8.6	.38	.36	3	.081	30	119	.997	3.2	.56	9.4	5
      55	7.6	.51	.15	2.8	.11	33	73	.9955	3.17	.63	10.2	6
      56	7.7	.62	.04	3.8	.084	25	45	.9978	3.34	.53	9.5	5
      57	10.2	.42	.57	3.4	.07	4	10	.9971	3.04	.63	9.6	5
      58	7.5	.63	.12	5.1	.111	50	110	.9983	3.26	.77	9.4	5
      59	7.8	.59	.18	2.3	.076	17	54	.9975	3.43	.59	10	5
      60	7.3	.39	.31	2.4	.074	9	46	.9962	3.41	.54	9.4	6
      61	8.8	.4	.4	2.2	.079	19	52	.998	3.44	.64	9.2	5
      62	7.7	.69	.49	1.8	.115	20	112	.9968	3.21	.71	9.3	5
