cardid,value,pmethod,sex,homeown,income,age,fruitveg,freshmeat,dairy,cannedveg,cannedmeat,frozenmeal,beer,wine,softdrink,fish,confectionery
39808,42.7123,CHEQUE,M,NO,27000,46,0,1,1,0,0,0,0,0,0,0,1
67362,25.3567,CASH,F,NO,30000,28,0,1,0,0,0,0,0,0,0,0,1
10872,20.6176,CASH,M,NO,13200,36,0,0,0,1,0,1,1,0,0,1,0
26748,23.6883,CARD,F,NO,12200,26,0,0,1,0,0,0,0,1,0,0,0
91609,18.8133,CARD,M,YES,11000,24,0,0,0,0,0,0,0,0,0,0,0
26630,46.4867,CARD,F,NO,15000,35,0,1,0,0,0,0,0,1,0,1,0
62995,14.0467,CASH,F,YES,20800,30,1,0,0,0,0,0,0,0,1,0,0
38765,22.2034,CASH,M,YES,24400,22,0,0,0,0,0,0,1,0,0,0,0
28935,22.975,CHEQUE,F,NO,29500,46,1,0,0,0,0,1,0,0,0,0,0
41792,14.5692,CASH,M,NO,29600,22,1,0,0,0,0,0,0,0,0,1,0
59480,10.3282,CASH,F,NO,27100,18,1,1,1,1,0,0,0,1,0,1,0
60755,13.7796,CASH,F,YES,20000,48,1,0,0,0,0,0,0,0,0,1,0
70998,36.509,CARD,M,YES,27300,43,0,0,1,0,1,1,0,0,0,1,0
80617,10.2011,CHEQUE,F,YES,28000,43,0,0,0,0,0,0,0,0,1,1,0
61144,10.3736,CASH,F,NO,27400,24,1,0,1,0,0,0,0,0,1,1,0
36405,34.8222,CHEQUE,F,YES,18400,19,0,0,0,0,0,1,1,0,1,0,0
76567,42.248,CARD,M,YES,23100,31,1,0,0,1,0,0,0,0,0,1,0
85699,18.1688,CASH,F,YES,27000,29,0,0,0,0,0,0,0,0,0,1,0
11357,10.753,CASH,F,YES,23100,26,0,0,0,0,0,0,1,0,0,1,0
97761,32.3184,CARD,F,YES,25800,38,1,0,0,1,0,0,0,1,0,1,1
20362,31.72,CASH,M,YES,25100,38,0,0,0,0,0,1,0,0,0,1,0
33173,36.8328,CASH,F,YES,24700,43,0,0,0,0,0,0,0,1,0,0,1
69934,31.1787,CHEQUE,F,YES,21300,41,0,0,0,0,0,0,0,0,0,1,0
14743,21.6813,CASH,M,YES,12400,48,1,1,1,1,1,1,1,1,0,0,0
83071,29.8536,CASH,M,YES,18100,31,0,0,0,0,0,0,1,0,0,0,1
17571,15.27,CARD,F,YES,22900,23,1,0,1,0,0,1,1,0,0,0,0
37917,32.2318,CHEQUE,F,NO,27000,32,0,1,0,0,0,0,0,1,0,0,1
11236,42.5669,CARD,M,YES,26800,34,0,0,0,0,0,0,0,0,0,0,0
47914,44.5913,CASH,F,YES,24700,32,0,1,0,0,0,0,0,1,0,1,1
58154,49.1367,CHEQUE,M,NO,21300,50,0,0,0,0,1,0,0,0,0,0,0
35197,40.3398,CASH,M,NO,27400,38,0,0,0,0,0,1,1,1,0,1,0
64892,38.9995,CASH,F,YES,12900,46,0,0,0,0,0,1,0,1,0,0,0
102467,13.7623,CARD,F,YES,26700,48,0,0,0,1,1,0,1,1,0,0,0
56677,30.3099,CASH,F,NO,27800,42,1,0,0,0,0,0,0,0,0,0,0
94105,10.3719,CARD,M,YES,24100,44,0,1,0,0,0,0,0,0,1,0,0
63817,29.1748,CHEQUE,M,YES,19600,28,0,0,0,0,0,0,0,0,0,0,0
44887,46.8983,CARD,M,YES,28400,41,1,0,0,0,0,0,0,0,0,0,0
69720,13.7837,CARD,F,NO,16600,41,0,1,0,0,0,0,0,0,0,0,0
97267,33.0618,CHEQUE,F,YES,10200,19,0,0,0,0,0,0,0,0,0,1,1
53750,38.5113,CHEQUE,F,YES,24800,23,0,0,0,0,0,0,0,1,0,0,1
109530,37.4844,CARD,M,NO,21100,30,0,1,0,0,0,0,1,0,0,0,0
65493,26.7732,CASH,M,YES,19900,43,0,0,0,0,0,0,0,0,1,0,0
96694,28.2755,CARD,M,NO,16300,28,0,0,0,1,1,1,1,1,0,1,0
46730,41.6178,CARD,F,NO,18700,35,1,0,0,0,1,0,0,0,0,0,0
