holderage	vehiclegroup	vehicleage	claimamt	nclaims
22	A	0-3	2312	8
22	A	4-7	2256	8
23	A	8-9	1064	4
23	A	10+	1280	1
23	B	0-3	3720	10
22	A	4-7	1992	28
23	A	8-9	2304	1
22	B	10+	110	1
22	B	0-3	1890	9
23	B	4-7	2880	5
23	B	8-9	1790	1
24	A	10+	NA	0
24	C	0-3	11445	3
23	A	4-7	6800	2
22	D	8-9	NA	0
23	D	10+	NA	0
28	A	0-3	2416	8
26	A	4-7	1552	5
28	A	8-9	1080	10
25	A	10+	1328	4
25	B	0-3	4200	6
28	B	4-7	2430	6
26	B	8-9	1960	8
26	B	10+	1350	3
28	C	0-3	4020	8
29	C	4-7	5145	12
26	A	8-9	2344	7
26	C	10+	1560	2
25	B	0-3	4070	6
28	C	4-7	4800	18
25	D	8-9	4100	2
25	C	10+	NA	0
31	A	0-3	2144	2
30	A	4-7	2280	5
34	A	8-9	1448	10
34	A	10+	880	7
34	B	0-3	2750	8
31	B	4-7	2430	5
32	B	8-9	1790	9
34	B	10+	2640	5
31	C	0-3	5010	10
34	C	4-7	4110	12
30	C	8-9	3120	10
32	C	10+	2250	8
34	D	0-3	7660	2
35	D	4-7	6100	6
31	B	8-9	1160	6
32	C	10+	9540	11
33	B	0-3	2360	4
31	B	4-7	2700	4
32	A	8-9	1280	5
34	A	10+	880	12
31	B	0-3	2590	5
32	B	4-7	2260	20
32	B	8-9	1610	9
31	B	10+	1070	19
31	C	0-3	5100	9
34	C	4-7	3900	15
32	C	0-3	2835	2
30	C	10+	1560	9
31	D	0-3	8000	1
32	B	4-7	3490	5
33	B	0-3	1470	5
33	D	0-3	1300	2
36	B	0-3	2070	7
38	B	4-7	1290	10
39	A	8-9	1256	12
36	A	10+	904	6
36	B	0-3	2080	2
38	B	4-7	2140	6
39	B	8-9	1490	10
35	B	4-7	1370	2
37	C	0-3	3765	7
35	C	4-7	3480	9
39	C	8-9	3060	9
37	C	10+	2115	8
36	D	0-3	4660	1
38	B	4-7	3250	5
38	D	0-3	4140	4
38	B	10+	NA	0
41	B	0-3	2540	3
44	B	4-7	2130	9
45	A	8-9	1192	15
48	B	4-7	980	7
42	B	0-3	2180	2
42	B	4-7	2090	9
42	B	8-9	1720	9
49	B	10+	1100	5
42	C	0-3	3585	4
46	C	4-7	3750	5
46	B	0-3	1740	2
45	D	0-3	2580	5
48	D	0-3	7740	1
48	B	4-7	2990	8
49	D	0-3	6500	8
45	B	8-9	1370	9
58	A	0-3	2008	2
56	A	4-7	1816	6
53	A	4-7	1376	12
54	A	10+	784	10
50	B	0-3	1960	8
52	B	4-7	2290	20
55	B	8-9	1640	12
59	B	4-7	1320	10
56	C	0-3	4020	5
57	C	4-7	3750	5
53	C	8-9	2625	10
53	C	10+	2280	5
56	D	0-3	7820	2
50	C	4-7	3420	5
57	C	8-9	5190	8
55	C	10+	2505	5
57	A	0-3	2112	5
58	A	4-7	1584	8
55	A	8-9	1336	12
56	A	4-7	912	5
58	B	0-3	2240	6
59	B	4-7	1930	4
56	B	8-9	1780	7
58	B	4-7	1010	6
57	C	0-3	4035	8
54	C	4-7	3870	4
57	C	4-7	3405	6
56	C	10+	1785	6
56	C	0-3	5775	10
59	D	0-3	6480	22
57	B	4-7	1920	6
58	C	0-3	1845	6
