序号 省市 金额（亿美元） 累计金额同比（%） 省市占全国比重
1 广东省 1704.89 28.14 40.86
2 江苏省 671.98 0.51 16.11
3 上海市 600.98 -4.12 14.4
4 天津市 236.21 41.56 5.66
5 北京市 180.28 -2.94 4.32
6 山东省 123.69 14.26 2.96
7 福建省 112.26 18.09 2.69
8 四川省 96.97 5.6 2.32
9 河南省 88.94 17.3 2.13
10 重庆市 81.5 29.8 1.95
11 浙江省 60.14 -8.91 1.44
12 陕西省 38.58 53.18 0.92
13 辽宁省 36.06 -6.09 0.86
14 湖北省 27.97 25.34 0.67
15 安徽省 18.86 93.62 0.45
16 吉林省 14.54 -6 0.35
17 江西省 11.09 5.16 0.27
18 河北省 10.89 12.91 0.26
19 海南省 10.87 18.52 0.26
20 湖南省 9.52 35.4 0.23
21 广西壮族自治区 8.78 5.26 0.21
22 山西省 7.5 -29.22 0.18
23 内蒙古自治区 7.22 458.2 0.17
24 黑龙江省 4.55 28.16 0.11
25 云南省 3.77 46.02 0.09
26 甘肃省 1.16 -23.24 0.03
27 新疆维吾尔族自治区 1.03 2.89 0.02
28 贵州省 0.92 -30.36 0.02
29 青海省 0.65 21.13 0.02
30 宁夏回族自治区 0.49 -15.8 0.01
31 西臧自治区 0.13 -71.93 0
